Date,Title,Url,Language,Author,Avatar,Category Details,Checked,City,Display URLs,Expanded URLs,Full Name,Full Text,Gender,Hashtags,Impact,Impressions,Latitude,Location Name,Longitude,Media Filter,Media URLs,Mentioned Authors,Original Url,Thread Author,Thread Created Date,Thread Entry Type,Thread Id,Thread URL,Twitter Author ID,Twitter Channel Role,Twitter Followers,Twitter Following,Twitter Reply Count,Twitter Reply to,Twitter Retweet of,Twitter Retweets,Twitter Tweets,Twitter Verified,Updated,Reach (new)
52:52.0,@FirstLadyofChem @USWNT @AbbyWambach @CarliLloyd @brandichastain @MichelleAkers10 @hopesolo Looks like @A_Schapp 's bookshelf.,http://twitter.com/DavidSchappelle/statuses/1245137014112104454,en,DavidSchappelle,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/3071574839?token=7d4304a0c98d734d0eaf08df73a7edfaa799095f5d7c262d971acf6e8ff7533f,,FALSE,,,,DavidSchappelle (David Schappelle),@FirstLadyofChem @USWNT @AbbyWambach @CarliLloyd @brandichastain @MichelleAkers10 @hopesolo Looks like @A_Schapp 's bookshelf.,male,,0,17,0,,0,,,"@firstladyofchem, @uswnt, @abbywambach, @carlilloyd, @brandichastain, @michelleakers10, @hopesolo, @a_schapp",http://twitter.com/DavidSchappelle/statuses/1245137014112104454,FirstLadyofChem,,reply,1.24507E+18,,3071574839,,17,163,0,http://twitter.com/FirstLadyofChem/statuses/1245067028765032448,,0,389,FALSE,2020-10-05T16:39:32.632+0000,0
52:26.0,@TeamUSA 2012 USA vs Canada Alex Morgan header,http://twitter.com/carolinehassal1/statuses/1245136907224391680,es,carolinehassal1,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/969314913855397888?token=eef1ad6325ef54a3c33caf738d48977e51fc47b855925ecce0d8ccc32be0ce92,,FALSE,,,,carolinehassal1 (Caroline Hassall),@TeamUSA 2012 USA vs Canada Alex Morgan header,female,,0,117,0,,0,,,@teamusa,http://twitter.com/carolinehassal1/statuses/1245136907224391680,TeamUSA,,reply,1.24506E+18,,9.69315E+17,,117,709,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,21016,FALSE,2020-10-05T16:39:32.601+0000,0
51:37.0,@USASwimming @USASwimInsider,http://twitter.com/CoachHesse/statuses/1245136700428259328,de,CoachHesse,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/301003208?token=e805ba1781465979f4cdd19479a57d01111aa192f52f5b31234eafb45861b912,,FALSE,,,https://twitter.com/i/web/status/1245135151438282753,CoachHesse (Mark Hesse),@USASwimming @USASwimInsider,male,,0,584,0,,0,,,"@usaswimming, @usaswiminsider",http://twitter.com/CoachHesse/statuses/1245136700428259328,,,post,0,,301003208,,584,601,0,,,0,3553,FALSE,2020-10-05T16:39:32.613+0000,0
51:23.0,@glamourmag @alexmorgan13 @USWNT @samanthabarry Nice,http://twitter.com/jsyd22/statuses/1245136641687248909,en,jsyd22,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/3344512144?token=6820c331bb17d196a83bb07540ad55a69788b175e35eb4cc0faa5ee4d918fe25,,FALSE,,,,jsyd22 (james sydnor),@glamourmag @alexmorgan13 @USWNT @samanthabarry Nice,male,,0,170,0,,0,,,"@glamourmag, @alexmorgan13, @uswnt, @samanthabarry",http://twitter.com/jsyd22/statuses/1245136641687248909,glamourmag,,reply,1.24498E+18,,3344512144,,170,1227,0,http://twitter.com/glamourmag/statuses/1244978295961276416,,0,18014,FALSE,2020-10-05T16:39:32.629+0000,0
51:02.0,@glamourmag @alexmorgan13 @USWNT @samanthabarry Congrats you got piped!,http://twitter.com/sgkdontplay/statuses/1245136553497645056,en,sgkdontplay,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/1400685511?token=8aafb3b114d1cfcb2710878cc7a1a42ff02807e978c8ce8dae3779f28e1b2b60,,FALSE,Los Angeles,,,sgkdontplay (SGK),@glamourmag @alexmorgan13 @USWNT @samanthabarry Congrats you got piped!,unknown,,41.1,3780,0,"Los Angeles, CA, USA",0,,,"@glamourmag, @alexmorgan13, @uswnt, @samanthabarry",http://twitter.com/sgkdontplay/statuses/1245136553497645056,glamourmag,,reply,1.24498E+18,,1400685511,,3780,108,3,http://twitter.com/glamourmag/statuses/1244978295961276416,,0,2800,FALSE,2020-10-05T16:39:32.616+0000,6608
51:00.0,@TeamUSA The Miracle!! ðŸ’,http://twitter.com/Rikki_Bobbi89/statuses/1245136546531102720,en,Rikki_Bobbi89,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/792563689350107136?token=ce29285ae0748a94b8592eb03df8ba4dfa2bd7be8d2eddc60272fda07758c563,,FALSE,,,,Rikki_Bobbi89 (Rikki Renee),@TeamUSA The Miracle!! ðŸ’,female,,0,37,0,USA,0,,,@teamusa,http://twitter.com/Rikki_Bobbi89/statuses/1245136546531102720,TeamUSA,,reply,1.24506E+18,,7.92564E+17,,37,270,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,911,FALSE,2020-10-05T16:39:32.635+0000,0
49:44.0,@jloquillo @InesSainzG @Tokyo2020 #noalacoso @daniellemx_,http://twitter.com/LoibiroT/statuses/1245136227386482688,es,LoibiroT,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/2845080283?token=b76d05397ad6395e2010a376cf4887427e0220eabf41db8acf293371dc6f5dd7,,FALSE,,,,LoibiroT (ToribioL),@jloquillo @InesSainzG @Tokyo2020 #noalacoso @daniellemx_,unknown,#noalacoso,0,92,0,,0,,,"@jloquillo, @inessainzg, @tokyo2020, @daniellemx_",http://twitter.com/LoibiroT/statuses/1245136227386482688,jloquillo,,reply,1.24513E+18,,2845080283,,92,259,0,http://twitter.com/jloquillo/statuses/1245134828053368835,,0,1812,FALSE,2020-10-05T16:39:32.629+0000,0
48:48.0,@TeamUSA Jesse Owens,http://twitter.com/CoachTMarshall/statuses/1245135989619789824,en,CoachTMarshall,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/887788064?token=0f4f92ad6d2535fd0e66e37eae0ab862d3bff865bbe74de96f6941ee235cde08,,FALSE,,,,CoachTMarshall (Tim Marshall),@TeamUSA Jesse Owens,male,,0,464,0,USA,0,,,@teamusa,http://twitter.com/CoachTMarshall/statuses/1245135989619789824,TeamUSA,,reply,1.24506E+18,,887788064,,464,906,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,1698,FALSE,2020-10-05T16:39:32.623+0000,0
48:30.0,Just what my swim kid needed!  Thanks for the tweet @USASwimming,http://twitter.com/TanyaEssary/statuses/1245135916290711552,en,TanyaEssary,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/1217312239?token=aa88572243ce89f743b854951bf6bb6b3e6d79bca63b93248c81de80ee1c4ea4,,FALSE,,,,TanyaEssary (Tanya Essary),Just what my swim kid needed! Thanks for the tweet @USASwimming,female,,0,11,0,,0,,,@usaswimming,http://twitter.com/TanyaEssary/statuses/1245135916290711552,,,post,0,,1217312239,,11,76,0,,,0,152,FALSE,2020-10-05T16:39:32.635+0000,0
48:23.0,@CoachJax11 @TeamHandball @USATH @USARugby Did not realize I was dealing with a top-5 scorer at the 2015 Carolina Blue CupðŸ˜¬,http://twitter.com/DetroitHandball/statuses/1245135884430819328,en,DetroitHandball,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/1225203869996789761?token=49946eb5be8c561d6aa0a591d330e4ac6911359434364c384b2d508484b42a36,,FALSE,,,,DetroitHandball (Detroit Handball Club),@CoachJax11 @TeamHandball @USATH @USARugby Did not realize I was dealing with a top-5 scorer at the 2015 Carolina Blue CupðŸ˜¬,unknown,,32.8,107,0,,0,,,"@coachjax11, @teamhandball, @usath, @usarugby",http://twitter.com/DetroitHandball/statuses/1245135884430819328,CoachJax11,,reply,1.24513E+18,,1.2252E+18,,107,535,2,http://twitter.com/CoachJax11/statuses/1245129637656698881,,0,252,FALSE,2020-10-05T16:39:32.570+0000,945
48:20.0,"We have a new date for the Olympic Games @tokyo2020 

July 23 - August 8  2021

Tenemos Nueva fecha para los Juegos OlÃ­mpicos de #tokyo2020 

23 de Julio al 8 de Agosto de 2021.

#olympics #olympicgames https://t.co/3OXa476Yof

@PanamSports",http://twitter.com/LavinyAsocUSA/statuses/1245135873852747780,es,LavinyAsocUSA,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/606101503?token=f5266ee7255bb9de01048ba2a16e13db9967e0b8f2427576d16e41b3171c79cd,,FALSE,Los Angeles,,,LavinyAsocUSA (LA AmericaðŸ‡ºðŸ‡¸),We have a new date for the Olympic Games @tokyo2020 July 23 - August 8 2021 Tenemos Nueva fecha para los Juegos OlÃ­mpicos de #tokyo2020 23 de Julio al 8 de Agosto de 2021. #olympics #olympicgames https://t.co/3OXa476Yof @PanamSports,,"#tokyo2020, #olympics, #olympicgames",0,297,0,"Los Angeles, CA, USA",0,,http://pbs.twimg.com/media/EUW4StKWsAA6Uqr.jpg,"@tokyo2020, @panamsports",http://twitter.com/LavinyAsocUSA/statuses/1245135873852747780,,,post,0,,606101503,,297,1882,0,,,0,2870,FALSE,2020-10-05T16:39:32.570+0000,0
45:14.0,@jessedanthony @usacycling Stay safe!,http://twitter.com/youngsteveng/statuses/1245135093506748417,en,youngsteveng,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/724585963595374592?token=f4ec69358ceb1fdafe5d69e60c56525e770a2baecc8faa3b3739c15239d44289,,FALSE,,,,youngsteveng (Steven G Young),@jessedanthony @usacycling Stay safe!,male,,0,37,0,,0,,,"@jessedanthony, @usacycling",http://twitter.com/youngsteveng/statuses/1245135093506748417,jessedanthony,,reply,1.24512E+18,,7.24586E+17,,37,57,0,http://twitter.com/jessedanthony/statuses/1245117652680531968,,0,2975,FALSE,2020-10-05T16:39:32.633+0000,0
44:27.0,@TeamUSA Miracle on ice!ðŸ’ðŸ‡ºðŸ‡¸,http://twitter.com/lorihagan5/statuses/1245134895007096839,en,lorihagan5,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/919738730046459905?token=77b2248b468a1dee63b557fb91e67ebf00c0d7d82c772fdabbcd75c974b0332b,,FALSE,,,,lorihagan5 (lori hagan),@TeamUSA Miracle on ice!ðŸ’ðŸ‡ºðŸ‡¸,female,,0,10,0,,0,,,@teamusa,http://twitter.com/lorihagan5/statuses/1245134895007096839,TeamUSA,,reply,1.24506E+18,,9.19739E+17,,10,90,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,186,FALSE,2020-10-05T16:39:32.561+0000,0
44:14.0,@TeamUSA 1976 olympic womenâ€™s gymnastics. I was not alive yet.  That would have been awesome to witness,http://twitter.com/kllabarb/statuses/1245134840816689152,en,kllabarb,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/47143391?token=0ae82897788910abdf457da3916aab4f2400bbd18d7f467bd0d0aec6747c9f72,,FALSE,,,,kllabarb (Kristen LaBarbera),@TeamUSA 1976 olympic womenâ€™s gymnastics. I was not alive yet. That would have been awesome to witness,female,,0,1,0,,0,,,@teamusa,http://twitter.com/kllabarb/statuses/1245134840816689152,TeamUSA,,reply,1.24506E+18,,47143391,,1,126,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,18,FALSE,2020-10-05T16:39:32.633+0000,0
44:11.0,@InesSainzG @Tokyo2020 Luces guapÃ­sima,http://twitter.com/jloquillo/statuses/1245134828053368835,es,jloquillo,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/137815865?token=1f79641269261f7d88dce1d8cedff16d455d5e95a099c87102129eeab07673a8,,FALSE,Mexico City,,,jloquillo (josÃ© luis flores),@InesSainzG @Tokyo2020 Luces guapÃ­sima,male,,24.8,1922,0,"Mexico City, Distrito Federal, MEX",0,,,"@inessainzg, @tokyo2020",http://twitter.com/jloquillo/statuses/1245134828053368835,InesSainzG,,reply,1.24506E+18,,137815865,,1922,1273,1,http://twitter.com/InesSainzG/statuses/1245057317739081729,,0,17522,FALSE,2020-10-05T16:39:32.562+0000,2517
43:32.0,@calUSAwrestling @Dollamur @DollamurWrestle @DollamurMMA @APSWrestle @WrestlingMart @USAWrestling @HastyAwards Love being associated with great hard working people. @calUSAwrestling thank you for your unwavering support of @APSWrestle !,http://twitter.com/TunaGT174/statuses/1245134664886444033,en,TunaGT174,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/416631831?token=67217bc44f0e7222f8e4147d14cb5c976f29220c039d646ffe9714c07e051b28,,FALSE,,,,TunaGT174 (Grant Turner),@calUSAwrestling @Dollamur @DollamurWrestle @DollamurMMA @APSWrestle @WrestlingMart @USAWrestling @HastyAwards Love being associated with great hard working people. @calUSAwrestling thank you for your unwavering support of @APSWrestle !,male,,33.9,8868,0,,0,,,"@calusawrestling, @dollamur, @dollamurwrestle, @dollamurmma, @apswrestle, @wrestlingmart, @usawrestling, @hastyawards",http://twitter.com/TunaGT174/statuses/1245134664886444033,calUSAwrestling,,reply,1.24512E+18,,416631831,,1099,1154,0,http://twitter.com/calUSAwrestling/statuses/1245120141274173440,,2,3149,FALSE,2020-10-05T16:39:32.606+0000,2303
43:23.0,@AdelineGray @USAWrestling Good fringe benefit. And there definitely was good kid info. Can't wait to use that soon... Hopefully.,http://twitter.com/House8Graphics/statuses/1245134627569885187,en,House8Graphics,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/709699416?token=d5575076cf619828671a42837746c3d8118ee34fc33a3d9fcb4c89cc1af53fa0,,FALSE,,,,House8Graphics (House 8 Graphics),@AdelineGray @USAWrestling Good fringe benefit. And there definitely was good kid info. Can't wait to use that soon... Hopefully.,,,0,142,0,,0,,,"@adelinegray, @usawrestling",http://twitter.com/House8Graphics/statuses/1245134627569885187,AdelineGray,,reply,1.24513E+18,,709699416,,142,147,0,http://twitter.com/AdelineGray/statuses/1245130279326367745,,0,1221,FALSE,2020-10-05T16:39:32.605+0000,0
42:56.0,@TeamUSA ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼,http://twitter.com/VanessaKaryn1/statuses/1245134516022370304,de,VanessaKaryn1,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/494530854?token=f4b8a7e8a48dbdf1af00e6c3e57dbf455f55e3ebbf6ab59c5030007e0a78b47a,,FALSE,,,,VanessaKaryn1 (VKW),@TeamUSA ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼ðŸ‘ðŸ¼,unknown,,0,45,0,,0,,,@teamusa,http://twitter.com/VanessaKaryn1/statuses/1245134516022370304,TeamUSA,,reply,1.24462E+18,,494530854,,45,161,0,http://twitter.com/TeamUSA/statuses/1244620137912655872,,0,2140,FALSE,2020-10-05T16:39:32.612+0000,0
41:52.0,The latest DelegaciÃ³n Venezolana Rumbo a #Tokyo2020 / @Tokyo2020 @Olympics @delegacionvzla APÂ®! https://t.co/haorplfVYc Thanks to @athletemsngr @INSEP_PARIS @winsordobbin #tokyo2020 #ioc,http://twitter.com/DelegacionVzla/statuses/1245134247960215553,es,DelegacionVzla,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/2180576893?token=2afa388cbc61cd4aaeca7bdf2df316d4d7d11789e1df9294d22625baf37d581e,,FALSE,,,https://paper.li/DelegacionVzla/1384450647?edition_id=320ecf00-73a9-11ea-b484-0cc47a0d164b,DelegacionVzla (TEAM VENEZUELA),The latest DelegaciÃ³n Venezolana Rumbo a #Tokyo2020 / @Tokyo2020 @Olympics @delegacionvzla APÂ®! https://t.co/haorplfVYc Thanks to @athletemsngr @INSEP_PARIS @winsordobbin #tokyo2020 #ioc,unknown,"#tokyo2020, #tokyo2020, #ioc",3.3,2201,0,VEN,0,,,"@tokyo2020, @olympics, @delegacionvzla, @athletemsngr, @insep_paris, @winsordobbin",http://twitter.com/DelegacionVzla/statuses/1245134247960215553,,,post,0,,2180576893,,2201,2501,0,,,0,17746,FALSE,2020-10-05T16:39:32.559+0000,1351
40:28.0,@samanthabarry @USWNT @alexmorgan13 @glamourmag Just watching this made me pee and my youngest kid is 12.,http://twitter.com/hannahcloud/statuses/1245133894942408708,en,hannahcloud,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/16806450?token=fd23bc9b39817412bf7fcd8efb2f83320bfae404c07b8145079648fd17c0638d,,FALSE,Boston,,,hannahcloud (Hannah),@samanthabarry @USWNT @alexmorgan13 @glamourmag Just watching this made me pee and my youngest kid is 12.,female,,0,332,0,"Boston, MA, USA",0,,,"@samanthabarry, @uswnt, @alexmorgan13, @glamourmag",http://twitter.com/hannahcloud/statuses/1245133894942408708,samanthabarry,,reply,1.24498E+18,,16806450,,332,1169,0,http://twitter.com/samanthabarry/statuses/1244975165534015488,,0,6187,FALSE,2020-10-05T16:39:32.537+0000,0
40:04.0,@sam_i_am251 @TeamUSA Yiiiikes!,http://twitter.com/BOBSLEDR/statuses/1245133792395677696,en,BOBSLEDR,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/33273859?token=509aa8112d0d5b4288b93030100aeb54799fec6bc67f90a5fe8382532d42a506,,FALSE,Salinas,,,"BOBSLEDR (Nick Cunningham, OLY)",@sam_i_am251 @TeamUSA Yiiiikes!,male,,30.4,8623,0,"Monterey, CA, USA",0,,,"@sam_i_am251, @teamusa",http://twitter.com/BOBSLEDR/statuses/1245133792395677696,sam_i_am251,,reply,1.24513E+18,,33273859,,8623,4747,0,http://twitter.com/sam_i_am251/statuses/1245132422875877377,,0,7757,TRUE,2020-10-05T16:39:32.544+0000,4489
39:55.0,We are trying our best! @USAWP,http://twitter.com/NavyWaterPolo/statuses/1245133754177327116,en,NavyWaterPolo,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/892722232530788352?token=ae773f19dfbe14d139df0b3d535dab93fa77c76f334a44007b20e744b7305ad1,,FALSE,Annapolis,,,NavyWaterPolo (NavyWaterPolo),We are trying our best! @USAWP,,,5,945,0,"Annapolis, MD, USA",0,,,@usawp,http://twitter.com/NavyWaterPolo/statuses/1245133754177327116,,,post,0,,8.92722E+17,,864,310,0,,,1,2779,FALSE,2020-10-05T16:39:32.548+0000,456
